tree_id,year,tree_dbh,health,spc_latin,spc_common,root_stone,root_grate,root_other,trunk_wire,address,zipcode,boro_name,longitude,latitude,block_code,sidewalk
417602,2015,17.0,Dead,PYRUS CALLERYANA,CALLERY PEAR,No,No,No,No,"160-032 21 AVENUE, Whitestone",11357,Queens,-73.80212577,40.7788455,TEST-11357,
433760,2015,2.0,Dead,PYRUS CALLERYANA,CALLERY PEAR,No,No,No,No,"126 MONTAUK AVENUE, Brooklyn",11208,Brooklyn,-73.87855736,40.67635278,TEST-11208,
450225,2015,3.0,Dead,PYRUS CALLERYANA,CALLERY PEAR,No,No,No,No,"186 EAST 161 STREET, Bronx",10451,Bronx,-73.92153814,40.82632429,TEST-10451,
434681,2015,13.0,Dead,GLEDITSIA TRIACANTHOS ,HONEYLOCUST,No,No,No,No,"138-015 HOOVER AVENUE, Jamaica",11435,Queens,-73.82034169,40.71428724,TEST-11435,
449336,2015,2.0,Dead,ACER PLATANOIDES,NORWAY MAPLE,No,No,No,No,"669 SHEPHERD AVENUE, Brooklyn",11208,Brooklyn,-73.87904192,40.66770934,TEST-11208,
422176,2015,4.0,Dead,ULMUS AMERICANA,AMERICAN ELM,No,No,No,No,"814 MILLER AVENUE, Brooklyn",11207,Brooklyn,-73.88684103,40.66059402,TEST-11207,
435930,2015,4.0,Dead,PLATANUS X ACERIFOLIA,LONDON PLANETREE,No,No,No,No,"835 HENDRIX STREET, Brooklyn",11207,Brooklyn,-73.88460468,40.66091787,TEST-11207,
437509,2015,2.0,Dead,QUERCUS PALUSTRIS,PIN OAK,No,No,No,No,"38-031 CEDAR LANE, Little Neck",11363,Queens,-73.75039239,40.77210015,TEST-11363,
434038,2015,16.0,Dead,PLATANUS X ACERIFOLIA,LONDON PLANETREE,No,No,No,No,"10578 AVENUE L, Brooklyn",11236,Brooklyn,-73.88718845,40.64380698,TEST-11236,
453889,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"51-024 BEACH CHANNEL DRIVE, Far Rockaway",11691,Queens,-73.78258931,40.5952904,TEST-11691,
436723,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"864 STANLEY AVENUE, Brooklyn",11208,Brooklyn,-73.87770196,40.66278395,TEST-11208,
445490,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"719 LACONIA AVENUE, Staten Island",10306,Staten Island,-74.09715363,40.57864529,TEST-10306,Unknown
429614,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"38-030 WEST DRIVE, Little Neck",11363,Queens,-73.7512487,40.77186452,TEST-11363,Unknown
446783,2015,6.0,Dead,ZELKOVA SERRATA,JAPANESE ZELKOVA,No,No,No,No,"896 FOX STREET, Bronx",10459,Bronx,-73.89415841,40.81950143,TEST-10459,
431175,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"300 BARBEY STREET, Brooklyn",11207,Brooklyn,-73.88817221,40.67550951,TEST-11207,
436641,2015,5.0,Dead,QUERCUS PALUSTRIS,PIN OAK,No,No,No,No,"269 ESSEX STREET, Brooklyn",11208,Brooklyn,-73.88253201,40.6775348,TEST-11208,
437098,2015,2.0,Dead,QUERCUS PALUSTRIS,PIN OAK,No,No,No,No,"358 WORTMAN AVENUE, Brooklyn",11207,Brooklyn,-73.88014902,40.65883417,TEST-11207,
455300,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"29-029 WESTBOURNE AVENUE, Far Rockaway",11691,Queens,-73.76817393,40.60891642,TEST-11691,Unknown
430739,2015,21.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"19 HASTINGS STREET, Staten Island",10305,Staten Island,-74.06681134,40.60080707,TEST-10305,
432865,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1888 ARTHUR AVENUE, Bronx",10457,Bronx,-73.89369394,40.84523173,TEST-10457,Unknown
429179,2015,4.0,Dead,PRUNUS SEROTINA,BLACK CHERRY,No,No,No,No,"299 ASHFORD STREET, Brooklyn",11207,Brooklyn,-73.88539608,40.67515373,TEST-11207,
429579,2015,2.0,Dead,TILIA AMERICANA,AMERICAN LINDEN,No,No,No,No,"2931 PITKIN AVENUE, Brooklyn",11208,Brooklyn,-73.86396302,40.67653966,TEST-11208,
427586,2015,4.0,Dead,PRUNUS,CHERRY,No,No,No,No,"1140 WORTHEN STREET, Bronx",10474,Bronx,-73.89334599,40.81353113,TEST-10474,
415280,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"898 BRYANT AVENUE, Bronx",10474,Bronx,-73.8868699,40.81990765,TEST-10474,
452396,2015,5.0,Dead,QUERCUS PALUSTRIS,PIN OAK,No,No,No,No,"315 EAST 161 STREET, Bronx",10451,Bronx,-73.91699706,40.8251964,TEST-10451,
441402,2015,2.0,Dead,PRUNUS,CHERRY,No,No,No,No,"901 ELSMERE PLACE, Bronx",10460,Bronx,-73.88504023,40.84148213,TEST-10460,
432437,2015,14.0,Dead,PHELLODENDRON AMURENSE,AMUR CORK TREE,No,No,No,No,"848 GLENMORE AVENUE, Brooklyn",11208,Brooklyn,-73.87896941,40.67564287,TEST-11208,
450198,2015,2.0,Dead,GLEDITSIA TRIACANTHOS ,HONEYLOCUST,No,No,No,No,"763 ATKINS AVENUE, Brooklyn",11208,Brooklyn,-73.87052927,40.6596848,TEST-11208,
449949,2015,11.0,Dead,GLEDITSIA TRIACANTHOS ,HONEYLOCUST,No,No,No,No,"31-010 THOMSON AVENUE, Long Island City",11101,Queens,-73.93518062,40.74483591,TEST-11101,
450223,2015,3.0,Dead,PRUNUS,CHERRY,No,No,No,No,"184 EAST 161 STREET, Bronx",10451,Bronx,-73.92181285,40.82641151,TEST-10451,
434680,2015,13.0,Dead,PRUNUS CERASIFERA,PURPLE-LEAF PLUM,No,No,No,No,"138-015 HOOVER AVENUE, Jamaica",11435,Queens,-73.8202873,40.71430194,TEST-11435,
452404,2015,3.0,Dead,PRUNUS,CHERRY,No,No,No,No,"283 EAST 161 STREET, Bronx",10451,Bronx,-73.9178228,40.82545935,TEST-10451,
435341,2015,2.0,Dead,SYRINGA RETICULATA,JAPANESE TREE LILAC,No,No,No,No,"931 STANLEY AVENUE, Brooklyn",11208,Brooklyn,-73.87536907,40.66310372,TEST-11208,
